País de residencia	Tipo de dato	Periodo	Total
Francia	Tasa de variación acumulada	2016M11	6,73
Francia	Tasa de variación acumulada	2016M10	7,94
Francia	Tasa de variación acumulada	2016M09	9,22
Francia	Tasa de variación acumulada	2016M08	9,20
Francia	Tasa de variación acumulada	2016M07	8,92
Francia	Tasa de variación acumulada	2016M06	7,22
Francia	Tasa de variación acumulada	2016M05	6,58
Francia	Tasa de variación acumulada	2016M04	8,30
Francia	Tasa de variación acumulada	2016M03	4,75
Francia	Tasa de variación acumulada	2016M02	5,97
Francia	Tasa de variación acumulada	2016M01	4,52
Francia	Tasa de variación acumulada	2015M12	""
Francia	Tasa de variación acumulada	2015M11	""
Francia	Tasa de variación acumulada	2015M10	""
Irlanda	Dato base	2020M09	15.557
Irlanda	Dato base	2020M08	25.758
Irlanda	Dato base	2020M07	31.323
Irlanda	Dato base	2020M06	.
Irlanda	Dato base	2020M05	0
Irlanda	Dato base	2020M04	0
Irlanda	Dato base	2020M03	38.949
Irlanda	Dato base	2020M02	96.032
Irlanda	Dato base	2020M01	85.375
Irlanda	Dato base	2019M12	83.633
Irlanda	Dato base	2019M11	94.334
Irlanda	Dato base	2019M10	195.168
Irlanda	Dato base	2019M09	253.182
Irlanda	Dato base	2019M08	266.927
Irlanda	Dato base	2019M07	286.096
Irlanda	Dato base	2019M06	282.177
Irlanda	Dato base	2019M05	237.509
Irlanda	Dato base	2019M04	173.919
Irlanda	Dato base	2019M03	124.441
Irlanda	Dato base	2019M02	90.556
Irlanda	Dato base	2019M01	89.650
Irlanda	Dato base	2018M12	93.838
Irlanda	Dato base	2018M11	85.430
Irlanda	Dato base	2018M10	197.182
Irlanda	Dato base	2018M09	236.984
Irlanda	Dato base	2018M08	222.755
Irlanda	Dato base	2018M07	268.390
Irlanda	Dato base	2018M06	269.507
Irlanda	Dato base	2018M05	229.976
Irlanda	Dato base	2018M04	164.830
Irlanda	Dato base	2018M03	118.310
Irlanda	Dato base	2018M02	85.754
Irlanda	Dato base	2018M01	80.430
Irlanda	Dato base	2017M12	82.879
Irlanda	Dato base	2017M11	95.627
Irlanda	Dato base	2017M10	179.191
Irlanda	Dato base	2017M09	222.057
Irlanda	Dato base	2017M08	232.183
Irlanda	Dato base	2017M07	300.461
Irlanda	Dato base	2017M06	263.682
Irlanda	Dato base	2017M05	230.113
Irlanda	Dato base	2017M04	179.189
Irlanda	Dato base	2017M03	97.536
Irlanda	Dato base	2017M02	78.412
Irlanda	Dato base	2017M01	84.791
Irlanda	Dato base	2016M12	76.925
Irlanda	Dato base	2016M11	91.096
Irlanda	Dato base	2016M10	187.289
Irlanda	Dato base	2016M09	220.140
Irlanda	Dato base	2016M08	224.548
Irlanda	Dato base	2016M07	222.677
Irlanda	Dato base	2016M06	222.725
Irlanda	Dato base	2016M05	188.634
Irlanda	Dato base	2016M04	125.848
Irlanda	Dato base	2016M03	110.303
Irlanda	Dato base	2016M02	69.114
Irlanda	Dato base	2016M01	69.169
Irlanda	Dato base	2015M12	59.601
Irlanda	Dato base	2015M11	66.710
Irlanda	Dato base	2015M10	143.378
Irlanda	Tasa de variación anual	2020M09	-93,86
Irlanda	Tasa de variación anual	2020M08	-90,35
Irlanda	Tasa de variación anual	2020M07	-89,05
Irlanda	Tasa de variación anual	2020M06	.
Irlanda	Tasa de variación anual	2020M05	-100,00
Irlanda	Tasa de variación anual	2020M04	-100,00
Irlanda	Tasa de variación anual	2020M03	-68,70
Irlanda	Tasa de variación anual	2020M02	6,05
Irlanda	Tasa de variación anual	2020M01	-4,77
Irlanda	Tasa de variación anual	2019M12	-10,88
Irlanda	Tasa de variación anual	2019M11	10,42
Irlanda	Tasa de variación anual	2019M10	-1,02
Irlanda	Tasa de variación anual	2019M09	6,83
Irlanda	Tasa de variación anual	2019M08	19,83
Irlanda	Tasa de variación anual	2019M07	6,60
Irlanda	Tasa de variación anual	2019M06	4,70
Irlanda	Tasa de variación anual	2019M05	3,28
Irlanda	Tasa de variación anual	2019M04	5,51
Irlanda	Tasa de variación anual	2019M03	5,18
Irlanda	Tasa de variación anual	2019M02	5,60
Irlanda	Tasa de variación anual	2019M01	11,46
Irlanda	Tasa de variación anual	2018M12	13,22
Irlanda	Tasa de variación anual	2018M11	-10,66
Irlanda	Tasa de variación anual	2018M10	10,04
Irlanda	Tasa de variación anual	2018M09	6,72
Irlanda	Tasa de variación anual	2018M08	-4,06
Irlanda	Tasa de variación anual	2018M07	-10,67
Irlanda	Tasa de variación anual	2018M06	2,21
Irlanda	Tasa de variación anual	2018M05	-0,06
Irlanda	Tasa de variación anual	2018M04	-8,01
Irlanda	Tasa de variación anual	2018M03	21,30
Irlanda	Tasa de variación anual	2018M02	9,36
Irlanda	Tasa de variación anual	2018M01	-5,14
Irlanda	Tasa de variación anual	2017M12	7,74
Irlanda	Tasa de variación anual	2017M11	4,97
Irlanda	Tasa de variación anual	2017M10	-4,32
Irlanda	Tasa de variación anual	2017M09	0,87
Irlanda	Tasa de variación anual	2017M08	3,40
Irlanda	Tasa de variación anual	2017M07	34,93
Irlanda	Tasa de variación anual	2017M06	18,39
Irlanda	Tasa de variación anual	2017M05	21,99
Irlanda	Tasa de variación anual	2017M04	42,39
Irlanda	Tasa de variación anual	2017M03	-11,57
Irlanda	Tasa de variación anual	2017M02	13,45
Irlanda	Tasa de variación anual	2017M01	22,58
Irlanda	Tasa de variación anual	2016M12	29,07
Irlanda	Tasa de variación anual	2016M11	36,56
Irlanda	Tasa de variación anual	2016M10	30,63
Irlanda	Tasa de variación anual	2016M09	27,43
Irlanda	Tasa de variación anual	2016M08	22,86
Irlanda	Tasa de variación anual	2016M07	9,65
Irlanda	Tasa de variación anual	2016M06	17,11
Irlanda	Tasa de variación anual	2016M05	20,50
Irlanda	Tasa de variación anual	2016M04	12,61
Irlanda	Tasa de variación anual	2016M03	58,21
Irlanda	Tasa de variación anual	2016M02	19,17
Irlanda	Tasa de variación anual	2016M01	28,91
Irlanda	Tasa de variación anual	2015M12	15,62
Irlanda	Tasa de variación anual	2015M11	15,63
Irlanda	Tasa de variación anual	2015M10	17,44
Irlanda	Acumulado en lo que va de año	2020M09	293.327
Irlanda	Acumulado en lo que va de año	2020M08	277.770
Irlanda	Acumulado en lo que va de año	2020M07	252.012
Irlanda	Acumulado en lo que va de año	2020M06	.
Irlanda	Acumulado en lo que va de año	2020M05	220.356
Irlanda	Acumulado en lo que va de año	2020M04	220.356
Irlanda	Acumulado en lo que va de año	2020M03	220.356
Irlanda	Acumulado en lo que va de año	2020M02	181.407
Irlanda	Acumulado en lo que va de año	2020M01	85.375
Irlanda	Acumulado en lo que va de año	2019M12	2.177.592
Irlanda	Acumulado en lo que va de año	2019M11	2.093.959
Irlanda	Acumulado en lo que va de año	2019M10	1.999.625
Irlanda	Acumulado en lo que va de año	2019M09	1.804.457
Irlanda	Acumulado en lo que va de año	2019M08	1.551.275
Irlanda	Acumulado en lo que va de año	2019M07	1.284.348
Irlanda	Acumulado en lo que va de año	2019M06	998.252
Irlanda	Acumulado en lo que va de año	2019M05	716.075
Irlanda	Acumulado en lo que va de año	2019M04	478.566
Irlanda	Acumulado en lo que va de año	2019M03	304.648
Irlanda	Acumulado en lo que va de año	2019M02	180.206
Irlanda	Acumulado en lo que va de año	2019M01	89.650
Irlanda	Acumulado en lo que va de año	2018M12	2.053.385
Irlanda	Acumulado en lo que va de año	2018M11	1.959.547
Irlanda	Acumulado en lo que va de año	2018M10	1.874.117
Irlanda	Acumulado en lo que va de año	2018M09	1.676.935
Irlanda	Acumulado en lo que va de año	2018M08	1.439.951
Irlanda	Acumulado en lo que va de año	2018M07	1.217.196
Irlanda	Acumulado en lo que va de año	2018M06	948.806
Irlanda	Acumulado en lo que va de año	2018M05	679.299
Irlanda	Acumulado en lo que va de año	2018M04	449.324
Irlanda	Acumulado en lo que va de año	2018M03	284.494
Irlanda	Acumulado en lo que va de año	2018M02	166.184
Irlanda	Acumulado en lo que va de año	2018M01	80.430
Irlanda	Acumulado en lo que va de año	2017M12	2.046.123
Irlanda	Acumulado en lo que va de año	2017M11	1.963.243
Irlanda	Acumulado en lo que va de año	2017M10	1.867.616
Irlanda	Acumulado en lo que va de año	2017M09	1.688.425
Irlanda	Acumulado en lo que va de año	2017M08	1.466.368
Irlanda	Acumulado en lo que va de año	2017M07	1.234.184
Irlanda	Acumulado en lo que va de año	2017M06	933.723
Irlanda	Acumulado en lo que va de año	2017M05	670.041
Irlanda	Acumulado en lo que va de año	2017M04	439.928
Irlanda	Acumulado en lo que va de año	2017M03	260.738
Irlanda	Acumulado en lo que va de año	2017M02	163.202
Irlanda	Acumulado en lo que va de año	2017M01	84.791
Irlanda	Acumulado en lo que va de año	2016M12	1.808.469
Irlanda	Acumulado en lo que va de año	2016M11	1.731.543
Irlanda	Acumulado en lo que va de año	2016M10	1.640.447
Irlanda	Acumulado en lo que va de año	2016M09	1.453.158
Irlanda	Acumulado en lo que va de año	2016M08	1.233.018
Irlanda	Acumulado en lo que va de año	2016M07	1.008.470
Irlanda	Acumulado en lo que va de año	2016M06	785.792
Irlanda	Acumulado en lo que va de año	2016M05	563.068
Irlanda	Acumulado en lo que va de año	2016M04	374.434
Irlanda	Acumulado en lo que va de año	2016M03	248.586
Irlanda	Acumulado en lo que va de año	2016M02	138.283
Irlanda	Acumulado en lo que va de año	2016M01	69.169
Irlanda	Acumulado en lo que va de año	2015M12	""
Irlanda	Acumulado en lo que va de año	2015M11	""
Irlanda	Acumulado en lo que va de año	2015M10	""
Irlanda	Tasa de variación acumulada	2020M09	-83,74
Irlanda	Tasa de variación acumulada	2020M08	-82,09
Irlanda	Tasa de variación acumulada	2020M07	-80,38
Irlanda	Tasa de variación acumulada	2020M06	.
Irlanda	Tasa de variación acumulada	2020M05	-69,23
Irlanda	Tasa de variación acumulada	2020M04	-53,96
Irlanda	Tasa de variación acumulada	2020M03	-27,67
Irlanda	Tasa de variación acumulada	2020M02	0,67
Irlanda	Tasa de variación acumulada	2020M01	-4,77
Irlanda	Tasa de variación acumulada	2019M12	6,05
Irlanda	Tasa de variación acumulada	2019M11	6,86
Irlanda	Tasa de variación acumulada	2019M10	6,70
Irlanda	Tasa de variación acumulada	2019M09	7,60
Irlanda	Tasa de variación acumulada	2019M08	7,73
Irlanda	Tasa de variación acumulada	2019M07	5,52
Irlanda	Tasa de variación acumulada	2019M06	5,21
Irlanda	Tasa de variación acumulada	2019M05	5,41
Irlanda	Tasa de variación acumulada	2019M04	6,51
Irlanda	Tasa de variación acumulada	2019M03	7,08
Irlanda	Tasa de variación acumulada	2019M02	8,44
Irlanda	Tasa de variación acumulada	2019M01	11,46
Irlanda	Tasa de variación acumulada	2018M12	0,35
Irlanda	Tasa de variación acumulada	2018M11	-0,19
Irlanda	Tasa de variación acumulada	2018M10	0,35
Irlanda	Tasa de variación acumulada	2018M09	-0,68
Irlanda	Tasa de variación acumulada	2018M08	-1,80
Irlanda	Tasa de variación acumulada	2018M07	-1,38
Irlanda	Tasa de variación acumulada	2018M06	1,62
Irlanda	Tasa de variación acumulada	2018M05	1,38
Irlanda	Tasa de variación acumulada	2018M04	2,14
Irlanda	Tasa de variación acumulada	2018M03	9,11
Irlanda	Tasa de variación acumulada	2018M02	1,83
Irlanda	Tasa de variación acumulada	2018M01	-5,14
Irlanda	Tasa de variación acumulada	2017M12	13,14
Irlanda	Tasa de variación acumulada	2017M11	13,38
Irlanda	Tasa de variación acumulada	2017M10	13,85
Irlanda	Tasa de variación acumulada	2017M09	16,19
Irlanda	Tasa de variación acumulada	2017M08	18,93
Irlanda	Tasa de variación acumulada	2017M07	22,38
Irlanda	Tasa de variación acumulada	2017M06	18,83
Irlanda	Tasa de variación acumulada	2017M05	19,00
Irlanda	Tasa de variación acumulada	2017M04	17,49
Irlanda	Tasa de variación acumulada	2017M03	4,89
Irlanda	Tasa de variación acumulada	2017M02	18,02
Irlanda	Tasa de variación acumulada	2017M01	22,58
Irlanda	Tasa de variación acumulada	2016M12	23,18
Irlanda	Tasa de variación acumulada	2016M11	22,93
Irlanda	Tasa de variación acumulada	2016M10	22,25
Irlanda	Tasa de variación acumulada	2016M09	21,25
Irlanda	Tasa de variación acumulada	2016M08	20,21
Irlanda	Tasa de variación acumulada	2016M07	19,64
Irlanda	Tasa de variación acumulada	2016M06	22,81
Irlanda	Tasa de variación acumulada	2016M05	25,22
Irlanda	Tasa de variación acumulada	2016M04	27,74
Irlanda	Tasa de variación acumulada	2016M03	37,06
Irlanda	Tasa de variación acumulada	2016M02	23,85
Irlanda	Tasa de variación acumulada	2016M01	28,91
Irlanda	Tasa de variación acumulada	2015M12	""
Irlanda	Tasa de variación acumulada	2015M11	""
Irlanda	Tasa de variación acumulada	2015M10	""
Italia	Dato base	2020M09	59.611
Italia	Dato base	2020M08	137.978
Italia	Dato base	2020M07	103.650
Italia	Dato base	2020M06	10.426
Italia	Dato base	2020M05	0
Italia	Dato base	2020M04	0
Italia	Dato base	2020M03	69.894
Italia	Dato base	2020M02	249.262
Italia	Dato base	2020M01	233.589
Italia	Dato base	2019M12	305.220
Italia	Dato base	2019M11	294.195
Italia	Dato base	2019M10	323.855
Italia	Dato base	2019M09	431.263
Italia	Dato base	2019M08	671.330
Italia	Dato base	2019M07	481.829
Italia	Dato base	2019M06	405.887
Italia	Dato base	2019M05	403.175
Italia	Dato base	2019M04	388.321
Italia	Dato base	2019M03	320.311
Italia	Dato base	2019M02	263.903
Italia	Dato base	2019M01	245.224
Italia	Dato base	2018M12	297.914
Italia	Dato base	2018M11	287.656
Italia	Dato base	2018M10	324.470
Italia	Dato base	2018M09	467.229
Italia	Dato base	2018M08	636.112
Italia	Dato base	2018M07	490.594
Italia	Dato base	2018M06	420.236
Italia	Dato base	2018M05	342.494
Italia	Dato base	2018M04	347.141
Italia	Dato base	2018M03	283.169
Italia	Dato base	2018M02	233.046
Italia	Dato base	2018M01	259.393
Italia	Dato base	2017M12	261.413
Italia	Dato base	2017M11	255.504
Italia	Dato base	2017M10	303.950
Italia	Dato base	2017M09	386.059
Italia	Dato base	2017M08	649.424
Italia	Dato base	2017M07	515.237
Italia	Dato base	2017M06	408.387
Italia	Dato base	2017M05	365.256
Italia	Dato base	2017M04	347.714
Italia	Dato base	2017M03	265.201
Italia	Dato base	2017M02	210.541
Italia	Dato base	2017M01	254.180
Italia	Dato base	2016M12	262.757
Italia	Dato base	2016M11	234.531
Italia	Dato base	2016M10	292.811
Italia	Dato base	2016M09	345.530
Italia	Dato base	2016M08	669.959
Italia	Dato base	2016M07	449.455
Italia	Dato base	2016M06	394.281
Italia	Dato base	2016M05	319.683
Italia	Dato base	2016M04	306.745
Italia	Dato base	2016M03	248.525
Italia	Dato base	2016M02	219.179
Italia	Dato base	2016M01	225.865
Italia	Dato base	2015M12	239.878
Italia	Dato base	2015M11	211.530
Italia	Dato base	2015M10	262.178
Italia	Tasa de variación anual	2020M09	-86,18
Italia	Tasa de variación anual	2020M08	-79,45
Italia	Tasa de variación anual	2020M07	-78,49
Italia	Tasa de variación anual	2020M06	-97,43
Italia	Tasa de variación anual	2020M05	-100,00
Italia	Tasa de variación anual	2020M04	-100,00
Italia	Tasa de variación anual	2020M03	-78,18
Italia	Tasa de variación anual	2020M02	-5,55
Italia	Tasa de variación anual	2020M01	-4,74
Italia	Tasa de variación anual	2019M12	2,45
Italia	Tasa de variación anual	2019M11	2,27
Italia	Tasa de variación anual	2019M10	-0,19
Italia	Tasa de variación anual	2019M09	-7,70
Italia	Tasa de variación anual	2019M08	5,54
Italia	Tasa de variación anual	2019M07	-1,79
Italia	Tasa de variación anual	2019M06	-3,41
Italia	Tasa de variación anual	2019M05	17,72
Italia	Tasa de variación anual	2019M04	11,86
Italia	Tasa de variación anual	2019M03	13,12
Italia	Tasa de variación anual	2019M02	13,24
Italia	Tasa de variación anual	2019M01	-5,46
Italia	Tasa de variación anual	2018M12	13,96
Italia	Tasa de variación anual	2018M11	12,58
Italia	Tasa de variación anual	2018M10	6,75
Italia	Tasa de variación anual	2018M09	21,03
Italia	Tasa de variación anual	2018M08	-2,05
Italia	Tasa de variación anual	2018M07	-4,78
Italia	Tasa de variación anual	2018M06	2,90
Italia	Tasa de variación anual	2018M05	-6,23
Italia	Tasa de variación anual	2018M04	-0,16
Italia	Tasa de variación anual	2018M03	6,78
Italia	Tasa de variación anual	2018M02	10,69
Italia	Tasa de variación anual	2018M01	2,05
Italia	Tasa de variación anual	2017M12	-0,51
Italia	Tasa de variación anual	2017M11	8,94
Italia	Tasa de variación anual	2017M10	3,80
Italia	Tasa de variación anual	2017M09	11,73
Italia	Tasa de variación anual	2017M08	-3,07
Italia	Tasa de variación anual	2017M07	14,64
Italia	Tasa de variación anual	2017M06	3,58
Italia	Tasa de variación anual	2017M05	14,26
Italia	Tasa de variación anual	2017M04	13,36
Italia	Tasa de variación anual	2017M03	6,71
Italia	Tasa de variación anual	2017M02	-3,94
Italia	Tasa de variación anual	2017M01	12,54
Italia	Tasa de variación anual	2016M12	9,54
Italia	Tasa de variación anual	2016M11	10,87
Italia	Tasa de variación anual	2016M10	11,68
Italia	Tasa de variación anual	2016M09	5,92
Italia	Tasa de variación anual	2016M08	-3,93
Italia	Tasa de variación anual	2016M07	2,99
Italia	Tasa de variación anual	2016M06	15,11
Italia	Tasa de variación anual	2016M05	-4,59
Italia	Tasa de variación anual	2016M04	1,32
Italia	Tasa de variación anual	2016M03	13,59
Italia	Tasa de variación anual	2016M02	13,06
Italia	Tasa de variación anual	2016M01	10,72
Italia	Tasa de variación anual	2015M12	8,79
Italia	Tasa de variación anual	2015M11	8,05
Italia	Tasa de variación anual	2015M10	3,40
Italia	Acumulado en lo que va de año	2020M09	864.411
Italia	Acumulado en lo que va de año	2020M08	804.800
Italia	Acumulado en lo que va de año	2020M07	666.822
Italia	Acumulado en lo que va de año	2020M06	563.171
Italia	Acumulado en lo que va de año	2020M05	552.745
Italia	Acumulado en lo que va de año	2020M04	552.745
Italia	Acumulado en lo que va de año	2020M03	552.745
Italia	Acumulado en lo que va de año	2020M02	482.851
Italia	Acumulado en lo que va de año	2020M01	233.589
Italia	Acumulado en lo que va de año	2019M12	4.534.515
Italia	Acumulado en lo que va de año	2019M11	4.229.295
Italia	Acumulado en lo que va de año	2019M10	3.935.100
Italia	Acumulado en lo que va de año	2019M09	3.611.245
Italia	Acumulado en lo que va de año	2019M08	3.179.982
Italia	Acumulado en lo que va de año	2019M07	2.508.652
Italia	Acumulado en lo que va de año	2019M06	2.026.823
Italia	Acumulado en lo que va de año	2019M05	1.620.936
Italia	Acumulado en lo que va de año	2019M04	1.217.760
Italia	Acumulado en lo que va de año	2019M03	829.439
Italia	Acumulado en lo que va de año	2019M02	509.128
Italia	Acumulado en lo que va de año	2019M01	245.224
Italia	Acumulado en lo que va de año	2018M12	4.389.453
Italia	Acumulado en lo que va de año	2018M11	4.091.539
Italia	Acumulado en lo que va de año	2018M10	3.803.882
Italia	Acumulado en lo que va de año	2018M09	3.479.412
Italia	Acumulado en lo que va de año	2018M08	3.012.183
Italia	Acumulado en lo que va de año	2018M07	2.376.072
Italia	Acumulado en lo que va de año	2018M06	1.885.478
Italia	Acumulado en lo que va de año	2018M05	1.465.242
Italia	Acumulado en lo que va de año	2018M04	1.122.748
Italia	Acumulado en lo que va de año	2018M03	775.607
Italia	Acumulado en lo que va de año	2018M02	492.439
Italia	Acumulado en lo que va de año	2018M01	259.393
Italia	Acumulado en lo que va de año	2017M12	4.222.865
Italia	Acumulado en lo que va de año	2017M11	3.961.452
Italia	Acumulado en lo que va de año	2017M10	3.705.948
Italia	Acumulado en lo que va de año	2017M09	3.401.998
Italia	Acumulado en lo que va de año	2017M08	3.015.939
Italia	Acumulado en lo que va de año	2017M07	2.366.515
Italia	Acumulado en lo que va de año	2017M06	1.851.278
Italia	Acumulado en lo que va de año	2017M05	1.442.891
Italia	Acumulado en lo que va de año	2017M04	1.077.635
Italia	Acumulado en lo que va de año	2017M03	729.921
Italia	Acumulado en lo que va de año	2017M02	464.720
Italia	Acumulado en lo que va de año	2017M01	254.180
Italia	Acumulado en lo que va de año	2016M12	3.969.322
Italia	Acumulado en lo que va de año	2016M11	3.706.565
Italia	Acumulado en lo que va de año	2016M10	3.472.034
Italia	Acumulado en lo que va de año	2016M09	3.179.222
Italia	Acumulado en lo que va de año	2016M08	2.833.693
Italia	Acumulado en lo que va de año	2016M07	2.163.733
Italia	Acumulado en lo que va de año	2016M06	1.714.278
Italia	Acumulado en lo que va de año	2016M05	1.319.997
Italia	Acumulado en lo que va de año	2016M04	1.000.314
Italia	Acumulado en lo que va de año	2016M03	693.569
Italia	Acumulado en lo que va de año	2016M02	445.044
Italia	Acumulado en lo que va de año	2016M01	225.865
Italia	Acumulado en lo que va de año	2015M12	""
Italia	Acumulado en lo que va de año	2015M11	""
Italia	Acumulado en lo que va de año	2015M10	""
Italia	Tasa de variación acumulada	2020M09	-76,06
Italia	Tasa de variación acumulada	2020M08	-74,69
Italia	Tasa de variación acumulada	2020M07	-73,42
Italia	Tasa de variación acumulada	2020M06	-72,21
Italia	Tasa de variación acumulada	2020M05	-65,90
Italia	Tasa de variación acumulada	2020M04	-54,61
Italia	Tasa de variación acumulada	2020M03	-33,36
Italia	Tasa de variación acumulada	2020M02	-5,16
Italia	Tasa de variación acumulada	2020M01	-4,74
Italia	Tasa de variación acumulada	2019M12	3,30
Italia	Tasa de variación acumulada	2019M11	3,37
Italia	Tasa de variación acumulada	2019M10	3,45
Italia	Tasa de variación acumulada	2019M09	3,79
Italia	Tasa de variación acumulada	2019M08	5,57
Italia	Tasa de variación acumulada	2019M07	5,58
Italia	Tasa de variación acumulada	2019M06	7,50
Italia	Tasa de variación acumulada	2019M05	10,63
Italia	Tasa de variación acumulada	2019M04	8,46
Italia	Tasa de variación acumulada	2019M03	6,94
Italia	Tasa de variación acumulada	2019M02	3,39
Italia	Tasa de variación acumulada	2019M01	-5,46
Italia	Tasa de variación acumulada	2018M12	3,94
Italia	Tasa de variación acumulada	2018M11	3,28
Italia	Tasa de variación acumulada	2018M10	2,64
Italia	Tasa de variación acumulada	2018M09	2,28
Italia	Tasa de variación acumulada	2018M08	-0,12
Italia	Tasa de variación acumulada	2018M07	0,40
Italia	Tasa de variación acumulada	2018M06	1,85
Italia	Tasa de variación acumulada	2018M05	1,55
Italia	Tasa de variación acumulada	2018M04	4,19
Italia	Tasa de variación acumulada	2018M03	6,26
Italia	Tasa de variación acumulada	2018M02	5,96
Italia	Tasa de variación acumulada	2018M01	2,05
Italia	Tasa de variación acumulada	2017M12	6,39
Italia	Tasa de variación acumulada	2017M11	6,88
Italia	Tasa de variación acumulada	2017M10	6,74
Italia	Tasa de variación acumulada	2017M09	7,01
Italia	Tasa de variación acumulada	2017M08	6,43
Italia	Tasa de variación acumulada	2017M07	9,37
Italia	Tasa de variación acumulada	2017M06	7,99
Italia	Tasa de variación acumulada	2017M05	9,31
Italia	Tasa de variación acumulada	2017M04	7,73
Italia	Tasa de variación acumulada	2017M03	5,24
Italia	Tasa de variación acumulada	2017M02	4,42
Italia	Tasa de variación acumulada	2017M01	12,54
Italia	Tasa de variación acumulada	2016M12	5,27
Italia	Tasa de variación acumulada	2016M11	4,98
Italia	Tasa de variación acumulada	2016M10	4,61
Italia	Tasa de variación acumulada	2016M09	4,00
Italia	Tasa de variación acumulada	2016M08	3,77
Italia	Tasa de variación acumulada	2016M07	6,41
Italia	Tasa de variación acumulada	2016M06	7,35
Italia	Tasa de variación acumulada	2016M05	5,23
Italia	Tasa de variación acumulada	2016M04	8,80
Italia	Tasa de variación acumulada	2016M03	12,48
Italia	Tasa de variación acumulada	2016M02	11,86
Italia	Tasa de variación acumulada	2016M01	10,72
Italia	Tasa de variación acumulada	2015M12	""
Italia	Tasa de variación acumulada	2015M11	""
Italia	Tasa de variación acumulada	2015M10	""
Países Bajos	Dato base	2020M09	33.624
Países Bajos	Dato base	2020M08	151.308
Países Bajos	Dato base	2020M07	189.995
Países Bajos	Dato base	2020M06	12.321
Países Bajos	Dato base	2020M05	0
Países Bajos	Dato base	2020M04	0
Países Bajos	Dato base	2020M03	94.969
Países Bajos	Dato base	2020M02	201.503
Países Bajos	Dato base	2020M01	163.329
Países Bajos	Dato base	2019M12	163.930
Países Bajos	Dato base	2019M11	182.139
Países Bajos	Dato base	2019M10	337.848
Países Bajos	Dato base	2019M09	375.562
Países Bajos	Dato base	2019M08	454.867
Países Bajos	Dato base	2019M07	508.260
Países Bajos	Dato base	2019M06	395.792
Países Bajos	Dato base	2019M05	426.675
Países Bajos	Dato base	2019M04	296.074
Países Bajos	Dato base	2019M03	221.834
Países Bajos	Dato base	2019M02	168.722
Países Bajos	Dato base	2019M01	152.557
Países Bajos	Dato base	2018M12	153.905
Países Bajos	Dato base	2018M11	166.221
Países Bajos	Dato base	2018M10	376.098
Países Bajos	Dato base	2018M09	382.511
Países Bajos	Dato base	2018M08	502.545
Países Bajos	Dato base	2018M07	537.542
Países Bajos	Dato base	2018M06	404.676
Países Bajos	Dato base	2018M05	446.583
Países Bajos	Dato base	2018M04	324.884
Países Bajos	Dato base	2018M03	227.053
Países Bajos	Dato base	2018M02	172.552
Países Bajos	Dato base	2018M01	160.700
Países Bajos	Dato base	2017M12	134.242
Países Bajos	Dato base	2017M11	165.527
Países Bajos	Dato base	2017M10	363.241
Países Bajos	Dato base	2017M09	379.013
Países Bajos	Dato base	2017M08	528.911
Países Bajos	Dato base	2017M07	563.122
Países Bajos	Dato base	2017M06	350.954
Países Bajos	Dato base	2017M05	421.259
Países Bajos	Dato base	2017M04	283.275
Países Bajos	Dato base	2017M03	199.662
Países Bajos	Dato base	2017M02	168.291
Países Bajos	Dato base	2017M01	147.053
Países Bajos	Dato base	2016M12	140.414
Países Bajos	Dato base	2016M11	145.803
Países Bajos	Dato base	2016M10	304.075
Países Bajos	Dato base	2016M09	321.168
Países Bajos	Dato base	2016M08	477.827
Países Bajos	Dato base	2016M07	508.443
Países Bajos	Dato base	2016M06	306.457
Países Bajos	Dato base	2016M05	380.876
Países Bajos	Dato base	2016M04	321.507
Países Bajos	Dato base	2016M03	175.242
Países Bajos	Dato base	2016M02	148.557
Países Bajos	Dato base	2016M01	124.662
Países Bajos	Dato base	2015M12	134.481
Países Bajos	Dato base	2015M11	127.758
Países Bajos	Dato base	2015M10	290.035
Países Bajos	Tasa de variación anual	2020M09	-91,05
Países Bajos	Tasa de variación anual	2020M08	-66,74
Países Bajos	Tasa de variación anual	2020M07	-62,62
Países Bajos	Tasa de variación anual	2020M06	-96,89
Países Bajos	Tasa de variación anual	2020M05	-100,00
Países Bajos	Tasa de variación anual	2020M04	-100,00
Países Bajos	Tasa de variación anual	2020M03	-57,19
Países Bajos	Tasa de variación anual	2020M02	19,43
Países Bajos	Tasa de variación anual	2020M01	7,06
Países Bajos	Tasa de variación anual	2019M12	6,51
Países Bajos	Tasa de variación anual	2019M11	9,58
Países Bajos	Tasa de variación anual	2019M10	-10,17
Países Bajos	Tasa de variación anual	2019M09	-1,82
Países Bajos	Tasa de variación anual	2019M08	-9,49
Países Bajos	Tasa de variación anual	2019M07	-5,45
Países Bajos	Tasa de variación anual	2019M06	-2,20
Países Bajos	Tasa de variación anual	2019M05	-4,46
Países Bajos	Tasa de variación anual	2019M04	-8,87
Países Bajos	Tasa de variación anual	2019M03	-2,30
Países Bajos	Tasa de variación anual	2019M02	-2,22
Países Bajos	Tasa de variación anual	2019M01	-5,07
Países Bajos	Tasa de variación anual	2018M12	14,65
Países Bajos	Tasa de variación anual	2018M11	0,42
Países Bajos	Tasa de variación anual	2018M10	3,54
Países Bajos	Tasa de variación anual	2018M09	0,92
Países Bajos	Tasa de variación anual	2018M08	-4,98
